state,year,chapter,chapter_amount
RAJASTHAN,2012,Seattle,8500.0
RAJASTHAN,2012,Silicon Valley,62277.0
RAJASTHAN,2012,Stanford,6550.0
RAJASTHAN,2012,UIUC,3000.0
RAJASTHAN,2013,Silicon Valley,63938.0
RAJASTHAN,2013,Stanford,6563.0
RAJASTHAN,2013,UIUC,10000.0
RAJASTHAN,2014,NYC/NJ,6372.0
RAJASTHAN,2014,Seattle,30252.0
RAJASTHAN,2014,Silicon Valley,45765.0
RAJASTHAN,2014,Stanford,20663.0
RAJASTHAN,2014,UIUC,21919.0
RAJASTHAN,2015,Austin,12589.0
RAJASTHAN,2015,Seattle,78772.0
RAJASTHAN,2015,Silicon Valley,66366.0
RAJASTHAN,2015,Stanford,21619.0
RAJASTHAN,2015,UIUC,13599.0
RAJASTHAN,2016,Austin,7631.0
RAJASTHAN,2016,NYC/NJ,9656.0
RAJASTHAN,2016,Seattle,126865.0
RAJASTHAN,2016,Silicon Valley,45714.0
RAJASTHAN,2016,Stanford,13546.0
RAJASTHAN,2016,UIUC,14852.0
RAJASTHAN,2017,Austin,27655.0
RAJASTHAN,2017,CentralNJ,10258.0
RAJASTHAN,2017,Danbury,13607.0
RAJASTHAN,2017,NYC/NJ,10889.0
RAJASTHAN,2017,Seattle,158229.0
RAJASTHAN,2017,Silicon Valley,54636.0
RAJASTHAN,2017,UIUC,16800.0
RAJASTHAN,2018,Austin,19838.0
RAJASTHAN,2018,Danbury,14843.0
RAJASTHAN,2018,NYC/NJ,11144.0
RAJASTHAN,2018,Seattle,108957.0
RAJASTHAN,2018,Silicon Valley,63941.0
RAJASTHAN,2018,Stanford,12601.0
RAJASTHAN,2018,UIUC,16685.0
RAJASTHAN,2019,Austin,11817.0
RAJASTHAN,2019,Danbury,8486.0
RAJASTHAN,2019,Minnesota,5068.0
RAJASTHAN,2019,Seattle,54379.0
RAJASTHAN,2019,Silicon Valley,66278.0
RAJASTHAN,2019,UIUC,10475.0
RAJASTHAN,2020,Austin,15258.0
RAJASTHAN,2020,Danbury,6873.0
RAJASTHAN,2020,Seattle,121090.0
RAJASTHAN,2020,Silicon Valley,72685.0
RAJASTHAN,2020,Stanford,12320.0
RAJASTHAN,2020,UIUC,11877.0
RAJASTHAN,2021,Austin,17770.0
RAJASTHAN,2021,Danbury,10873.0
RAJASTHAN,2021,Seattle,119972.0
RAJASTHAN,2021,Silicon Valley,70995.0
RAJASTHAN,2021,UIUC,8548.0
RAJASTHAN,2022,Danbury,9928.0
RAJASTHAN,2022,Seattle,88504.0
RAJASTHAN,2022,Silicon Valley,50288.0
RAJASTHAN,2022,UIUC,8486.0
RAJASTHAN,2023,Austin,12223.0
RAJASTHAN,2023,Seattle,85496.0
RAJASTHAN,2023,Silicon Valley,91159.0
RAJASTHAN,2023,UIUC,21826.0
RAJASTHAN,2024,Austin,30722.0
RAJASTHAN,2024,Danbury,9945.0
RAJASTHAN,2024,Seattle,84956.0
RAJASTHAN,2024,Silicon Valley,76462.0
RAJASTHAN,2024,UIUC,24040.0
RAJASTHAN,2025,Austin,12247.0
RAJASTHAN,2025,Silicon Valley,25137.0
SIKKIM,2002,Colorado,1130.0
SIKKIM,2003,Colorado,198.0
TAMIL NADU,1991,Berkeley,1000.0
TAMIL NADU,1992,Berkeley,2000.0
TAMIL NADU,1993,Berkeley,1000.0
TAMIL NADU,1993,Los Angeles,3000.0
TAMIL NADU,1994,Los Angeles,3000.0
TAMIL NADU,1994,Stanford,3880.0
TAMIL NADU,1995,Arizona,1000.0
TAMIL NADU,1995,Colorado,700.0
TAMIL NADU,1995,Cornell,1052.0
TAMIL NADU,1995,Los Angeles,1500.0
TAMIL NADU,1995,Madison,350.0
TAMIL NADU,1995,Stanford,2050.0
TAMIL NADU,1996,Boston,3520.0
TAMIL NADU,1996,Cornell,545.0
TAMIL NADU,1996,Los Angeles,1500.0
TAMIL NADU,1996,Seattle,2000.0
TAMIL NADU,1996,Stanford,5000.0
TAMIL NADU,1997,Berkeley,3200.0
TAMIL NADU,1997,Boston,7725.0
TAMIL NADU,1997,Colorado,1780.0
TAMIL NADU,1997,Cornell,615.0
TAMIL NADU,1997,Corvallis,300.0
TAMIL NADU,1997,Los Angeles,3000.0
TAMIL NADU,1997,Seattle,7250.0
TAMIL NADU,1997,St. Louis,1500.0
TAMIL NADU,1997,Stanford,5000.0
TAMIL NADU,1998,Arizona,500.0
TAMIL NADU,1998,Berkeley,4010.0
TAMIL NADU,1998,Boston,4300.0
TAMIL NADU,1998,Chicago,251.0
TAMIL NADU,1998,Cornell,1250.0
TAMIL NADU,1998,Corvallis,300.0
TAMIL NADU,1998,Los Angeles,7100.0
TAMIL NADU,1998,Seattle,12129.0
TAMIL NADU,1998,Silicon Valley,5000.0
TAMIL NADU,1998,St. Louis,750.0
TAMIL NADU,1999,Arizona,1100.0
TAMIL NADU,1999,Berkeley,5950.0
TAMIL NADU,1999,Boston,12005.0
TAMIL NADU,1999,Chicago,2500.0
TAMIL NADU,1999,Cornell,1500.0
TAMIL NADU,1999,Irvine,600.0
TAMIL NADU,1999,Los Angeles,2300.0
TAMIL NADU,1999,Princeton,600.0
TAMIL NADU,1999,Seattle,36038.0
TAMIL NADU,1999,Silicon Valley,17560.0
TAMIL NADU,1999,UIUC,470.0
TAMIL NADU,1999,Work an Hour,20000.0
TAMIL NADU,2000,Arizona,400.0
TAMIL NADU,2000,Berkeley,8350.0
TAMIL NADU,2000,Boston,9780.0
TAMIL NADU,2000,DC,460.0
TAMIL NADU,2000,Detroit,1000.0
TAMIL NADU,2000,General Funds,2050.0
TAMIL NADU,2000,Indiana,1600.0
TAMIL NADU,2000,Portland,500.0
TAMIL NADU,2000,Princeton,2000.0
TAMIL NADU,2000,Seattle,48971.0
TAMIL NADU,2000,Silicon Valley,23500.0
TAMIL NADU,2000,Work an Hour,44125.0
TAMIL NADU,2001,Arizona,1500.0
TAMIL NADU,2001,Berkeley,9740.0
TAMIL NADU,2001,Boston,10328.0
TAMIL NADU,2001,CentralNJ,2500.0
TAMIL NADU,2001,Cleveland,1000.0
TAMIL NADU,2001,Colorado,1000.0
TAMIL NADU,2001,Cornell,3500.0
TAMIL NADU,2001,DC,2900.0
TAMIL NADU,2001,General Funds,4500.0
TAMIL NADU,2001,NYC/NJ,1500.0
TAMIL NADU,2001,Seattle,31885.0
TAMIL NADU,2001,Silicon Valley,51722.0
TAMIL NADU,2001,Stanford,15000.0
TAMIL NADU,2001,Syracuse,650.0
TAMIL NADU,2001,UIUC,7630.0
TAMIL NADU,2001,Work an Hour,15263.0
TAMIL NADU,2002,Arizona,1500.0
TAMIL NADU,2002,Berkeley,8300.0
TAMIL NADU,2002,Boston,6737.0
TAMIL NADU,2002,Colorado,2177.0
TAMIL NADU,2002,Cornell,1360.0
TAMIL NADU,2002,DC,2900.0
TAMIL NADU,2002,Houston,3000.0
TAMIL NADU,2002,Irvine,500.0
TAMIL NADU,2002,Los Angeles,1785.0
TAMIL NADU,2002,NYC/NJ,14100.0
TAMIL NADU,2002,Seattle,45715.0
TAMIL NADU,2002,Silicon Valley,43344.0
TAMIL NADU,2002,St. Louis,2000.0
