state,year,state_total_amount,state_percentage,pop_adj_units,total_amount,tn_pop_adj_units,ratio_to_tn
JHARKHAND,2004,14746,0.6999247198829693,0.2563826812758129,1053399.0,4.236254679331402,16.52317020108741
JHARKHAND,2005,33537,0.7506473065600894,0.274962383355344,1489248.0,5.866683258077118,21.336312212916003
JHARKHAND,2006,9700,0.3941980548561136,0.1443948918886863,1230346.0,3.639192912362067,25.203058534560302
JHARKHAND,2008,34762,0.5620128343670799,0.2058655070941684,3092634.0,3.4415234661526317,16.71733897888191
JHARKHAND,2009,19270,0.3990009860107397,0.1461542073299412,2414781.0,3.316480387042699,22.691651835624466
JHARKHAND,2010,4000,0.131870928691125,0.0483043694839285,3033269.0,3.667682330216661,75.92858305369138
JHARKHAND,2011,3130,0.1358565320298051,0.049764297446815,2303901.0,3.5039927275491825,70.4117792739671
JHARKHAND,2014,5760,0.2021813117074211,0.0740590885375169,2848928.0,3.2665648460372725,44.107548587807614
JHARKHAND,2015,10244,0.3465788197847652,0.1269519486391081,2955749.0,3.3918315406902813,26.717443702517635
JHARKHAND,2016,7520,0.2008103981333178,0.0735569223931567,3744826.0,3.413461344251057,46.40571183778381
JHARKHAND,2017,53760,0.6244067787160914,0.228720431764136,4304886.0,3.294403197051509,14.403624423238258
JHARKHAND,2018,52350,0.7224978801208332,0.2646512381394993,3622848.0,3.020362829531245,11.412615526624489
JHARKHAND,2019,6930,0.2117007913271714,0.0775460774092203,3273488.0,2.966142192206973,38.2500610128127
JHARKHAND,2020,7743,0.2389258795946869,0.087518637214171,3240754.0,2.9437024335205977,33.635149349011506
JHARKHAND,2021,13239,0.4062963505141541,0.1488265020198366,3258459.0,3.067395729538567,20.610547771456215
JHARKHAND,2022,88320,1.4719622196363626,0.5391803002330998,3000077.0,3.784645590069676,7.019257915086082
JHARKHAND,2023,12783,0.4206140708782255,0.1540710882337822,3039128.0,3.8763492279726512,25.159484965088396
KARNATAKA,1994,11400,26.79830747531735,5.306595539666802,21270.0,5.427185783297521,1.0227245967267162
KARNATAKA,1995,16050,18.00013458044546,3.5643830852367246,29722.0,3.755155718156031,1.0535219218465786
KARNATAKA,1996,14700,10.977686172596112,2.17379924209824,44636.0,4.723141581929535,2.1727588686481303
KARNATAKA,1997,21708,8.278229035579454,1.639253274372169,87410.0,5.829581951598922,3.5562423712904527
KARNATAKA,1998,64200,9.882244285384438,1.9568800565117697,108275.0,5.5151018333568365,2.818313679984947
KARNATAKA,1999,182868,7.347336295282016,1.4549180782736664,414817.0,4.070000431822988,2.79740866004789
KARNATAKA,2000,575976,9.080813145024736,1.7981808207969776,528565.0,4.530945728262485,2.5197386580145538
KARNATAKA,2001,1018420,10.207857731077544,2.021357966550009,767448.0,3.511551122559496,1.7372237776136716
KARNATAKA,2002,1260360,12.749175181896971,2.524589144930093,823818.0,3.083612606752703,1.2214314606181553
KARNATAKA,2003,985296,8.043016640614306,1.5926765624978825,942333.0,3.94469339936166,2.4767699181652927
KARNATAKA,2004,811206,7.0007660914810055,1.3862903151447536,1053399.0,4.236254679331402,3.0558207274852536
KARNATAKA,2005,2143141,11.069815101312876,2.192042594319381,1489248.0,5.866683258077118,2.6763545896783523
KARNATAKA,2006,1146123,8.468593387551143,1.676949185653692,1230346.0,3.639192912362067,2.170127123406827
KARNATAKA,2007,2808220,12.085549345890762,2.3931780882952003,2323618.0,3.752486698581218,1.5679930870729024
KARNATAKA,2008,4376384,8.844370203522304,1.7513604363410504,3092634.0,3.4415234661526317,1.9650572176579921
KARNATAKA,2009,3540516,10.47275094511676,2.073812068339953,2414781.0,3.316480387042699,1.5992193495611577
KARNATAKA,2010,4803915,10.558278873387096,2.090748291759821,3033269.0,3.667682330216661,1.7542438488037726
KARNATAKA,2011,3810672,10.337553566754822,2.04704031024848,2303901.0,3.5039927275491825,1.7117360659711922
KARNATAKA,2012,2275672,8.563423852286892,1.695727495502355,1898166.0,3.238926487055499,1.9100512881027356
KARNATAKA,2013,1884370,7.3606880501365985,1.4575619901260592,2560046.0,3.402931460538406,2.3346735738108118
KARNATAKA,2014,1398824,6.137501544440575,1.2153468404832823,2848928.0,3.2665648460372725,2.687763473954747
KARNATAKA,2015,1191753,4.47998121626701,0.8871249933202001,2955749.0,3.3918315406902813,3.8233975665546702
KARNATAKA,2016,2360028,5.729184747168493,1.134492029142276,3744826.0,3.413461344251057,3.0088015222387927
KARNATAKA,2017,3602324,7.607263003015643,1.5063887134684442,4304886.0,3.294403197051509,2.1869542486588207
KARNATAKA,2018,2223594,6.819662320914374,1.350428182359282,3622848.0,3.020362829531245,2.2365964136311813
