state,year,state_total_amount,state_percentage,pop_adj_units,total_amount
KARNATAKA,2018,2223594,6.819662320914374,1.350428182359282,3622848.0
KARNATAKA,2019,2119660,6.475233756775648,1.2822245062922075,3273488.0
KARNATAKA,2020,1045814,4.610099995248019,0.9128910881679246,3240754.0
KARNATAKA,2021,1158912,5.927710000340652,1.1738039604634953,3258459.0
KARNATAKA,2022,844794,4.693179541725096,0.92934248350992,3000077.0
KARNATAKA,2023,440216,3.6212360914051662,0.7170764537435973,3039128.0
KARNATAKA,2024,95684,5.442039132358646,1.0776315113581476,879119.0
KERALA,1998,2000,1.8471484645578389,0.669256690057188,108275.0
KERALA,1999,7806,0.9408968292042033,0.34090464826239253,414817.0
KERALA,2000,2000,0.3783829803335446,0.13709528272954516,528565.0
KERALA,2001,105800,3.4464875796145145,1.2487273839183024,767448.0
KERALA,2002,174415,4.234309034276988,1.5341699399554307,823818.0
KERALA,2003,118550,2.5160956901647293,0.9116288732480904,942333.0
KERALA,2004,2200,0.20884773955547709,0.07566947085343373,1053399.0
KERALA,2005,73000,1.22545069726466,0.44400387582052897,1489248.0
KERALA,2006,508095,4.588546636474618,1.6625168972734123,1230346.0
KERALA,2007,190000,2.044225858122979,0.7406615427981809,2323618.0
KERALA,2008,57954,0.6246455286981906,0.2263208437312285,3092634.0
KERALA,2009,424445,2.510993750571998,0.9097803444101443,2414781.0
KERALA,2010,21924,0.36139228007802804,0.130939231912329,3033269.0
KERALA,2011,19460,0.4223271746485635,0.15301709226397228,2303901.0
KERALA,2012,71284,0.9388536092206898,0.3401643511669166,1898166.0
KERALA,2013,4950,0.19335590063616045,0.0700564857377393,2560046.0
KERALA,2014,24826,0.43570774691392694,0.1578651256934518,2848928.0
KERALA,2015,68746,1.162920126167682,0.4213478717998848,2955749.0
KERALA,2016,95103,0.8465279828755727,0.3067130372737583,3744826.0
KERALA,2017,19455,0.4519283437470818,0.1637421535315514,4304886.0
KERALA,2018,22662,0.3127649848958609,0.11332064670139891,3622848.0
KERALA,2019,136665,1.3916348555424674,0.5042155273704592,3273488.0
KERALA,2020,123378,1.2690256650149934,0.459791907614128,3240754.0
KERALA,2021,58780,0.9019600983164127,0.3267971370711641,3258459.0
KERALA,2022,54738,0.9122765849009875,0.3305349945293433,3000077.0
KERALA,2023,46084,0.7581780036905322,0.27470217525019286,3039128.0
MADHYA PRADESH,1994,1300,6.11189468735308,1.0186491145588465,21270.0
MADHYA PRADESH,2000,26700,1.6838042624842733,0.2806340437473789,528565.0
MADHYA PRADESH,2001,42600,1.8502882279972064,0.30838137133286775,767448.0
MADHYA PRADESH,2002,38000,2.306334651585666,0.38438910859761094,823818.0
MADHYA PRADESH,2003,12480,0.6621862972006711,0.11036438286677852,942333.0
MADHYA PRADESH,2004,7137,0.6775210532761091,0.11292017554601819,1053399.0
MADHYA PRADESH,2005,57594,1.2891069855390103,0.21485116425650172,1489248.0
MADHYA PRADESH,2006,5915,0.48075907102554893,0.0801265118375915,1230346.0
MADHYA PRADESH,2007,132945,1.9071551347941014,0.31785918913235023,2323618.0
MADHYA PRADESH,2008,108060,1.1647029684081596,0.19411716140135993,3092634.0
MADHYA PRADESH,2009,8088,0.16746860274285744,0.02791143379047624,2414781.0
MADHYA PRADESH,2010,311512,2.567461046151858,0.427910174358643,3033269.0
MADHYA PRADESH,2011,179980,1.9529919037319745,0.3254986506219958,2303901.0
MADHYA PRADESH,2012,105292,2.7735192812430522,0.46225321354050875,1898166.0
MADHYA PRADESH,2013,128211,1.6693840657550685,0.27823067762584475,2560046.0
MADHYA PRADESH,2014,252336,2.952408765683092,0.49206812761384866,2848928.0
MADHYA PRADESH,2015,37490,0.6341878150005296,0.10569796916675492,2955749.0
MADHYA PRADESH,2016,460470,4.098721809771669,0.6831203016286115,3744826.0
MADHYA PRADESH,2017,226340,2.6288733313727706,0.43814555522879506,4304886.0
MADHYA PRADESH,2018,141314,1.9503164361298073,0.3250527393549679,3622848.0
MADHYA PRADESH,2019,59899,1.8298218902895018,0.3049703150482503,3273488.0
MADHYA PRADESH,2020,341180,2.6319492315677158,0.43865820526128585,3240754.0
MADHYA PRADESH,2021,93254,1.4309524839809247,0.23849208066348748,3258459.0
MADHYA PRADESH,2022,10720,0.35732416201317496,0.05955402700219583,3000077.0
MADHYA PRADESH,2023,133872,1.4683159116694,0.24471931861156665,3039128.0
MADHYA PRADESH,2024,50908,2.895398688914698,0.48256644815244965,879119.0
MAHARASHTRA,1991,500,33.33333333333333,3.5919540229885056,1500.0
MAHARASHTRA,1992,900,18.367346938775512,1.9792399718508096,4900.0
MAHARASHTRA,1993,1620,13.705583756345177,1.4768948013302994,11820.0
MAHARASHTRA,1994,240,1.1283497884344147,0.12158941685715677,21270.0
MAHARASHTRA,1995,7040,11.843079200592154,1.2761938793741545,29722.0
MAHARASHTRA,1996,3071,6.880096782865848,0.7413897395329577,44636.0
MAHARASHTRA,1997,52848,15.114975403271936,1.6287689012146485,87410.0
MAHARASHTRA,1998,37400,6.908335257446318,0.7444326786041291,108275.0
MAHARASHTRA,1999,374780,9.034827405819916,0.9735805394202496,414817.0
MAHARASHTRA,2000,878733,18.472089525413146,1.990526888514348,528565.0
MAHARASHTRA,2001,1855920,16.122004357298476,1.7372849522950944,767448.0
MAHARASHTRA,2002,1144198,12.626332515191462,1.3605961762059766,823818.0
MAHARASHTRA,2003,2142495,15.157380671164015,1.6333384343926742,942333.0
