state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDHRA PRADESH,New River Valley,2015,1348.0,1348.0,100.0,24.390243902439025
ANDHRA PRADESH,San Francisco,2015,6555.0,146719.0,4.467724016657693,1.0896887845506569
ANDHRA PRADESH,Seattle,2015,80471.0,586354.0,13.72396197518905,3.347307798826598
ANDHRA PRADESH,Silicon Valley,2015,18257.0,326731.0,5.587777101040305,1.3628724636683671
ANDHRA PRADESH,UFlorida,2015,6722.0,50899.0,13.206546297569696,3.22110885306578
ANDHRA PRADESH,All Chapters,2016,3460512.0,3744826.0,8.400710740632542,2.048953839178669
ANDHRA PRADESH,Bangalore,2016,7552.0,22673.0,33.30834031667622,8.123985443091762
ANDHRA PRADESH,Boston,2016,12027.0,73047.0,16.464741878516573,4.015790702077213
ANDHRA PRADESH,Frankfurt,2016,4354.0,8917.0,48.82808119322642,11.909288095908883
ANDHRA PRADESH,Kansas City,2016,31188.0,45561.0,68.45328241258972,16.695922539656028
ANDHRA PRADESH,London,2016,9602.0,33505.0,28.658409192657814,6.989855900648248
ANDHRA PRADESH,Minnesota,2016,75076.0,104534.0,71.81969502745518,17.516998787184193
ANDHRA PRADESH,NYC/NJ,2016,22039.0,300653.0,7.330377544877317,1.7878969621651994
ANDHRA PRADESH,San Francisco,2016,8395.0,145601.0,5.765757103316598,1.4062822203211216
ANDHRA PRADESH,Seattle,2016,122406.0,1132925.0,10.804422181521284,2.635224922322265
ANDHRA PRADESH,Silicon Valley,2016,8740.0,336784.0,2.5951351608152406,0.6329597953207905
ANDHRA PRADESH,UFlorida,2016,13213.0,66334.0,19.91889528748455,4.858267143288915
ANDHRA PRADESH,All Chapters,2017,1955216.0,4304886.0,5.6773164260331175,1.3847113234227115
ANDHRA PRADESH,Bangalore,2017,71836.0,125130.0,57.40909454167665,14.002218180896746
ANDHRA PRADESH,Boston,2017,25313.0,134424.0,18.83071475331786,4.592857256906796
ANDHRA PRADESH,Frankfurt,2017,9433.0,20567.0,45.864734769290614,11.186520675436736
ANDHRA PRADESH,Kansas City,2017,9162.0,32554.0,28.144006880874855,6.864391922164599
ANDHRA PRADESH,NYC/NJ,2017,10258.0,234892.0,4.367113396795123,1.0651496089744203
ANDHRA PRADESH,San Diego,2017,5142.0,42383.0,12.132222825189345,2.95907873785106
